İnstructions-	Talimatlar
Outlaw-	Haydut
Courage-	Cesaret
Shuffle-	Karıştırmak
Sunshine-	Güneş ışığı
Steam-	Buhar
Avoid-	kaçınmak
void-	geçersiz
Unsure-	Emin değilim
Resiliency-	esneklik
Struggle-	çabalamak
Easer-	Daha kolay
awhile-	Birsüre
Sufle-	Boğmak
Rest-	dinlenmek
Weariness-	yorgunluk
Thought-	düşünce
tale-	masal
Land-	kara
Breathe-	Nefes almak
Farther-	Daha uzağa
Segregation-	ayrım
scan-	taramak
Fragmantation-	parçalanmak
Took-	alınmış
Slave-	köle
Sentiel-	nöbetçi
Gaze-	Bakış
Anticipating-	Ön görmek
Familiar-	tanıdık
Revulsion-	Tiksinti
Creatures-	yaraktıklar
Enemies-	düşmanlar
Approached-	yaklaştı
Nod-	Başını sallamak
pointed-	işaretlendi
still-	hala
Decay- 	çürümek
Bit-	biraz
Revealed-	Açığa kavuşmuş
Wield-	kullanmak
Mighty-	güçlü
Excuse-	mazeret
Puzzling-	Şaşırtıcı
Fragile-	kırılgan
Shuttle-	Servis aracı
flammable-	yanıcı
Flam-	Alev
Unattended-	gözetimsiz
gone-	gitmiş
Pleasure-	zevk
Give up-	Pes etmek
Threw-	attı
Wheel-	tekerlek
Let-	İzin vermek
Breathe-	nefes
Through-	Başından sonuna kadar
Majestic-	görkemli
Waves-	dalgalar
Suitable-	uygun
Kidnap-	Adam kaçırmak
ride-	binmek
rock-	taş
criminals-	suçlular
Fight-	kavga
several-	birkaç
rise-	doğmak
extend-	uzatmak
demand-	Talep etmek
Leasurly-	Rahat bir şekilde 
Stately-	görkemli
Toward-	karşı
Felt- 	keçe
Wore-	giydi
Shiny-	parlak
calm-	sakinlik
Habit-	alışkanlık
shock-	şok
Heaven-	cennet
Buzzed-	vızıltı
dice-	zar
chance-	Şans
Eternity-	sonsuzluk
Terrible-	korkunç
Greet-	selamlaşmak
Politely-	kibarca
Beaten-	dövmek
Contentedly-	memnuniyetle
Rug-	kilim
ladder-	merdiven
Understood-	Anlaşıldı
horizon-	ufuk
whole-	tüm
appointment-	randavu
Sketch-	kroki
matter-	konu
Glow-	parıltı
sat-	doygunluk
intended-	Amaçlanan
Rather-	oldukça
Annoyed-	sinirli
satisfaction-	memnuniyet
abroad-	yurtdışı
crime-	suç
Competition-	yarışma
Pleased-	memnun
heard-	duyulmuş
Throughput-	Verim
Exhausted-	yorgun
Reflection-	Refleks
Awful-	berbat
Famaus-	ünlü
Stove-	ocak
alone-	Tek başına
Along-	boyunca
broken-	kırılmış
Upset-	üzgün
Tidy-	düzenli
predicted-	Tahmin
Prescribed-	reçete
recall-	hatırlamak
Convenient-	uygun
Foolish-	aptalça
rare-	nadir
Tough-	zorlu
Essential-	gerekli
affordable-	Ekonomik
shed-	baraka
browse-	araştır
among-	arasında
bare-	çıplak
hyper-	Aşırı
village-	köy
met-	tanışmak
spoke-	konuştu
Tendency-	eğilim
alive-	canlı
mesh-	örgü
frame-	çerçeve
Hang-	asmak
indeed-	gerçekten
interview-	görüşme
Steal-	Hırsızlık yapmak
steals-	çalmak
Jog-	koşu
jogger-	koşucu
purse-	El çantası
Feet-	ayak
Across-	karşısında
Trouser-	Pantolon
Destroy-	Tahrip etmek
act-	davranmak
Nagging-	dırdırcı
sparse-	seyrek
blind-	kör
headache-	Baş ağrısı
Anniversary-	Yıl dönümü
Terribly-	Korkunç derecede
Occasionally-	Ara sıra
communicate-	iletişim
Kniting-	Örgü örmek
bowl-	Tas
Gooey-	Aşırı duygusal
Tray-	tepsi
bake-	pişmek
cool-	serin
gob-	ağız
Plumber-	tesisatçı
thumb-	Baş parmağı
Expressive-	etkileyici
issues-	sorunlar
emotion-	duygu
common-	yaygın
conclusion-	çözüm
eventual-	nihai
Almost-	neredeyse
glitch-	kusur
retail-	perakende
instead-	Yerine
Availability-	Kullanılabilirlik
Annual-	Yıllık
Truncate-	Kesmek
Absolute-	Mutlak
Recruit- 	Acemi
Moment-	An
Someone-	Birisi
Confident-	Kendinden emin
Ground- 	Zemin
Stick-	Sopa
Spot-	Leke
Scope-	Kapsam
Expenditure-	Masraf
Sealed-	Mühürlü
Proof-	Kanıt
Comparison-	Karşılaştırma
Chaos- 	Kaos
İmproving-	İyileştirmek 
Examine-	İncelemek
Consulusion-	Sonuç
Aggregations-	Toplamalar
Stats-	İstatistikler
Allocate-	Tahsis
İmmutable-	Değişmez
Proxy-	Vekil
Buffer- 	Tampon
Actually-	Aslında
Science-	Bilim
Concat-	Birleştirmek
Split-	Bölmek
Bulb-	Ampul
Cloth-	Bez
Fiber-	Lif
Thin- 	ince
Cheminal-	Kimyasal
Cotton-	Pamuk
Wool-	Yün
Sheep-	Koyun
Fabric-	Kumaş
Warmth-	Sıcaklık
Shiny-	Parlak
Durability-	Dayanıklılık
Fanout-	Yayılmak
Simplify-	basitleştirmek
knit-	örgü örmek
tied-	bağlı
dye-	boya
incompatiple-	uyumsuz
sew-	dikmek
weave-	örgü
thing-	şey
leap-	sıçramak
wore-	giydi
employment-	iş
brief-	kısa bilgi
notice-	fark etmek
themselves-	kendilerini
percent-	yüzde
freed-	serbest
desire-	arzu
orbital-	yörünge
freedom-	özgürlük
baker-	fırıncı
dough-	hamur
flour-	un
wheat-	buğday
sea-	deniz
moist-	nemli
flavor-	lezzet
sticky-	yapışkan
consumption-	tüketim
stir-	karıştırmak
crowd-	kalabalık
taught-	öğretilen
creative-	yaratıcı
crops-	ekinler
harvest-	hasat
establish-	kurmak
idle-	boşta
chunk-	yığın
regret-	pişmanlık
either-	herhangi biri
neither-	hiçbiri
handle-	üstesinden gelmek
bliss-	mutluluk
pure-	saf
uncover-	ortaya çıkarmak
manifest-	belirgin
membership-	üyelik
division-	bölünen
infinitive-	sonsuz
prayer-	dua
transition-	geçiş
fixable-	tamir edilebilir
cure-	çare
constantly-	sürekli
owergrown-	büyümüş
famine-	kıtlık
flood-	sel basmak
giant-	devasa
straight-	dümdüz
profit-	kâr
serious-	ciddi
mesh-	örgü
blame-	suçlamak
alias-	takma ad
field-	alan
rollcall-	yoklama
native-	yerli
booked-	ayırtıldı
bought-	satın almak
growth-	büyüme
tradition-	gelenek
shipment-	gönderi
advenced-	ileri
reflexive-	dönüşlü
essay-	makale
sake-	uğruna
mind-	zihin
borderland-	sınır bölgesi
silly-	aptal
laid-	koydu
pain-	acı
couple-	çift
per-	başına
able-	yapabilmek
principal-	asıl
worth-	değer
opposite-	zıt
tries-	dener
exactly-	tam olarak
pseudo-	sözde
collapse-	çöküş
overflow-	taşma
overlay-	kapsama
copyright-	telif hakkı
handy-	kullanışlı
isle-	ada
take away-	götürmek
complex-	karmaşık
const-	sabit
trip-	gezi
polar-	kutup
slide-	kaymak
command-	emir
peak-	zirve
tickle-	gıdıklamak
rush-	acele etmek
intersection-	kesişim
cub-	yavru
tasty-	lezzetli
subset-	alt küme
hiring-	işe alıyor
ripe-	olgun
pick-	seçmek
both-	ikisi birden
scatter-	saçma
raise-	arttırmak
reduce-	azaltmak 
drain-	boşaltmak
evicting-	tahliye
tuple-	demet
scent-	koku
pollinate-	tozlaşmak
fade-	solmak
during-	sırasında
nervous-	sinirli
horay-	yaşasın
tenant-	kiracı
via-	aracılığıyla
cons-	eksileri
retain-	sürdürmek
moon-	ay
sneeze-	hapşurma
flat-	düz
rectangular-	dikdörtgen
recaps-	özetler
sphere-	küre
undo-	geri alma
liveness-	canlılık
readiness-	hazırlık
probe-	incelemek
grace-	lütuf
stateless-	vatansız
seem-	gözükmek
kind-	tür
label-	etiket
elapsed-	geçen
journey-	seyahat
surge-	kabarmak
intellisense-	iyileştirmek
sense-	algı
convinces-	ikna eder
responsibilitiy-	sorumluluk
aware-	farkında olmak
concert-	kanser
bible-	kutsal kitap
salary-	aylık maaş
tax-	vergi
implicit-	örtük
explicit-	açık
audit-	denetim
awesome-	süper, korkunç
marshal-	sıralamak
art-	sanat
apprentice-	çırak
whether-	ikisinden biri
whatever-	her neyse
divide-	bölmek
too-	aşırı
abort-	iptal etmek
proposal-	teklif
deserve-	hak etmek
be supposed to-	gerekmek
suppose-	sanmak
i saw-	gördüm
survive-	hayatta kalan
whose-	kimin
pride-	gurur
swag-	yağma
suck-	emmek
sucks-	berbat
barking-	havlama
fault-	arıza
disapperaed-	ortadan kayboldu
yet-	henüz
tried-	sınanmış
sled-	kızak
hid-	saklanmak
clause-	cümle
achive-	başarmak
Mind-	Zihin
İcy- 	Buzlu
Told- 	Söylenmiş 
Us-	Biz
Remaining-	Geriye kalan
Clap-	Alkış
sword-	kılıç
deer-	geyik
swin-	sallanan
grin-	sırıtış
gigle-	kıkırdama
strange-	tuaf
calm-	sakinlik
even-	bile
hid-	saklamak
furrier-	kürkçü
though-	yine de
around-	etrafında
Germs-	Mikroplar
Realize-	Fark etmek
Colocation-	Ortak yerleşim
Compliance-	Uyma
Verbose- 	Ayrıntılı
Sneak- 	Gizlice
had-	vardı
lake-	göl
inspired-	esinlenilmiş
scary-	korkutucu
fuzzy-	bulanık
future-	gelecek
fact-	hakikat
digest-	sindirmek
hill-	tepe
punch-	yumruk
lay-	sermek
stand-	durmak
expected-	beklenen
arrange-	düzenlemek
assert-	iddia etmek
exact-	bire bir aynı
invisible-	görünmez
persistence-	ısrar
Hurry-	Acele Etmek
Explain-	Açıklama
Forgive-	Affetmek
Behind-	Arkada
Soldier-	Asker
Lawyer-	Avukat
Shoes-	Ayakkabı
Quince-	Ayva
Leg-	Bacak
İndependent-	Bağımsız
Minister-	Bakan
Capital-	Başkent
West-	Batı
Dishwasher-	Bulaşık Makinesi
Blankent-	Battaniye
Stale-	Bayat
Drown-	Boğulmak
Refrigerator-	Buzdolabı
Brave-	Cesur
President-	Cumhurbaşkanı
Lighter-	Çakmak
Baazar-	Çarşı
Roof-	Çatı
Socks-	Çorap
Uncle-	Dayı
Attention-	Dikkat
Careful-	Dikkatli
Carefulles-	Dikkatsiz
Tongue-	Dil
Wish-	Dilemek
Dentist-	Diş Hekimii
East-	Doğu
Lip-	Dudak
Shower-	Duş
Wall-	Duvar
Chemist-	Eczacı
Dress-	Elbise
Gloves-	Eldiven
Generous-	Cömert
Retired-	Emekli
Worry-	Endişe Etmek
Postpone-	Ertelemek
Tracksuit-	Eşofman
Meat-	Et
Skirt-	Etek
Beans-	Fasulye
Oven-	Fırın
Ship-	Gemi
Reject-	Geri Çevirmek
Talkative-	Geveze
Stroll-	Gezinmek
Wear-	Giymek
Navel-	Göbek
Chest-	Göğüs
Proud-	Gururlu
Weak-	Güçsüz
South-	Güney
Reliable-	Güvenilir
Unreliable-	Güvenilmez
Aunt-	Hala
Pregnant-	Hamile
Pill-	Hap
Prison-	Hapishane
Except-	Hariç
Marvellous-	Harika
Damage-	Hasar Vermek
Patient-	Hasta
Towel-	Havlu
İmagine-	Hayal Etmek
Ambitious-	Hırslı
Warm-	Ilık
Underwear-	İç Çamaşırı
Twin-	İkiz
Climate-	İklim
Medicine-	İlaç
Believe-	İnanmak
Stubborn-	İnatçı
Escape-	Kaçmak
Crowded-	Kalabalık
Hip-	Kalça
Heating-	Kalorifer
Blood-	Kan
Gain-	Kar
Decide-	Karar Vermek
Determined-	Kararlı
Compare-	Karşılaştırmak
Spoon-	Kaşık
Sking-	Kayak
Carefree-	Kaygısız
Accident-	Kaza
Handcuffs-	Kelepçe
Belt-	Kemer
Jealous-	Kıskanç
Air Conditioning-	Klima
Arm-	Kol
Wristwatch-	Kol Saati
Cologne-	Kolonya
Accomodation-	Konaklama
Consulate-	Konsolosluk
Fear-	Korkmak
Protect-	Korumak
Hairdresser-	Kuaför
Ear-	Kulak
Powerfull-	Kuvvetli
North-	Kuzey
Delicious-	Lezzetli
Medal-	Madalya
Scissors-	Makas
Tangerine-	Mandalina
Scenery-	Manzara
Parliament-	Meclis
Breast-	Meme
Civil Servant-	Memur
Wonder-	Merak Etmek
Stair-	Merdiven
Square-	Meydan
Fruits-	Meyve
Graduate-	Mezun
Bookkeeping-	Muhasebe
Excellent-	Mükemmel
Crew-	Mürettebat
Pulse-	Nabız
Honest-	Dürest
Cheerful-	Neşeli
Engaged-	Nişanlı
Son-	Oğul
Noon-	Öğle
Cough-	Öksürmek
Finger-	Parmak
Napkin-	Peçete
Disturb-	Rahatsız Etmek
Opponent-	Rakip
Wind-	Rüzgar
Beard-	Sakal
Election-	Seçim
Cool-	Serin
Erase-	Silmek
Nervous-	Sinirli
Fog-	Sis
Autumn-	Sonbahar
Be Thirsty-	Susamak
Bra-	Südyen
Joke-	Şaka Yapmak
Spoiled-	Şımarık
Complain-	Şikayet Etmek
Lightning-	Şimşek
Fat-	Şişman
Suspect-	Şüphelenmek
Plate-	Tabak
Suit-	Takım Elbise
İmitate-	Taklit Etmek
Repair-	Tamir Etmek
Recognize-	Tanımak
Comb-	Tarak
Discuss-	Tartışmak
Carry-	Taşımak
Taste-	Tatmak
Advise-	Tavsiye Etmek
Hit-	Vurmak
Handsome-	Yakışıklı
Light-	Yakmak
Lonely-	Yalnız
Near-	Yakın
Helpful-	Yardımsever
Judge-	Yargıç
Forbid-	Yasaklamak
Pillow-	Yastık
İnvestment-	Yatırım
Author-	Yazar
Renewal-	Yenileme
Adult-	Yetişkin
Bell-	Zil
Passanger-	Yol
İnjure-	İncitmek
Fall-	Düşmek
Look Like-	Benzemek
Selfish-	Bencil
Excited-	Heyecanlı
Shovel-	Kürek
Hugs-	Sarılmak
Describe-	Tanımlamak
Anthem-	Marş
Yell-	Bağırmak
Carpet-	Halı
Scribe-	Yazmak
Neighbour-	Komşu
Brought-	Geliştirilmiş
Tent-	Çadır
Fire-	Ateş
Lot-	Çok
İmperative-	Zorunlu
Mount-	Binmek
Terminating-	Sonlandırmak
Declare-	Bildirmek
Kind-	Tür
Spec-	Özellik
Tier-	Aşama
Detection-	Tespit Etmek
Recent-	Son
Stub-	Taslak
Remind-	Hatırlamak
Distribute-	Dağıtmak
Expand-	Genişletmek
Compression-	Sıkıştırmak
Transmission-	İletim
Bountie-	İkramiye
Stateful-	Durum Bilgili
Cluster-	Küme
Retries-	Yeniden Dener
Associate-	İş Arkadaşı
Premises-	Mülk
Edge-	Köşe
Receive-	Almak
Allocate-	Tahsis Etmek
Wonderful-	Müthiş
Migration-	Göç
